レシート番号,支店,性別,年代,曜日,日付,時刻,時間帯,レシート金額,商品名,購入商品数,商品順,単品購入,朝の購入,昼の購入,夜の購入,平日,土日,若年層,中年層,高年層,低額,中額,高額,カテゴリ,商品単価
R0014,中央区,男性,50代,水,2024/08/22,16:00,昼,920,牛乳,4,3,0,0,1,0,1,0,0,0,1,0,0,1,主食・基本食品,330
R0014,中央区,男性,50代,水,2024/08/22,16:00,昼,920,パン,4,4,0,0,1,0,1,0,0,0,1,0,0,1,主食・基本食品,210
R0015,中央区,女性,60代以上,水,2024/01/08,09:28,朝,450,卵,2,1,0,1,0,0,1,0,0,0,1,0,1,0,主食・基本食品,240
R0015,中央区,女性,60代以上,水,2024/01/08,09:28,朝,450,パン,2,2,0,1,0,0,1,0,0,0,1,0,1,0,主食・基本食品,210
R0016,中央区,女性,40代,月,2024/07/04,14:53,昼,930,サラダ,4,1,0,0,1,0,1,0,0,1,0,0,1,0,健康食品,290
R0016,中央区,女性,40代,月,2024/07/04,14:53,昼,930,野菜ジュース,4,2,0,0,1,0,1,0,0,1,0,0,1,0,飲み物,180
R0016,中央区,女性,40代,月,2024/07/04,14:53,昼,930,フルーツ,4,3,0,0,1,0,1,0,0,1,0,0,1,0,健康食品,270
R0016,中央区,女性,40代,月,2024/07/04,14:53,昼,930,ヨーグルト,4,4,0,0,1,0,1,0,0,1,0,0,1,0,健康食品,190
R0017,中央区,女性,30代,月,2024/09/05,21:29,夜,580,ヨーグルト,3,1,0,0,0,1,1,0,0,1,0,0,0,1,健康食品,190
R0017,中央区,女性,30代,月,2024/09/05,21:29,夜,580,野菜ジュース,3,2,0,0,0,1,1,0,0,1,0,0,0,1,飲み物,180
R0017,中央区,女性,30代,月,2024/09/05,21:29,夜,580,チョコレート,3,3,0,0,0,1,1,0,0,1,0,0,0,1,お菓子・スナック,210
R0018,中央区,女性,10代,月,2024/10/02,11:31,昼,170,ジュース,1,1,1,0,1,0,1,0,1,0,0,1,0,0,飲み物,170
R0019,中央区,男性,20代,火,2024/01/23,22:09,夜,930,栄養ドリンク,4,1,0,0,0,1,1,0,1,0,0,0,1,0,飲み物,180
R0019,中央区,男性,20代,火,2024/01/23,22:09,夜,930,サラダ,4,2,0,0,0,1,1,0,1,0,0,0,1,0,健康食品,290
R0019,中央区,男性,20代,火,2024/01/23,22:09,夜,930,フルーツ,4,3,0,0,0,1,1,0,1,0,0,0,1,0,健康食品,270
R0019,中央区,男性,20代,火,2024/01/23,22:09,夜,930,ヨーグルト,4,4,0,0,0,1,1,0,1,0,0,0,1,0,健康食品,190
R0020,中央区,男性,10代,水,2024/09/04,19:21,夜,980,ティッシュ,4,1,0,0,0,1,1,0,1,0,0,0,1,0,掃除・衛生用品,390
R0020,中央区,男性,10代,水,2024/09/04,19:21,夜,980,洗剤,4,2,0,0,0,1,1,0,1,0,0,0,1,0,掃除・衛生用品,150
R0020,中央区,男性,10代,水,2024/09/04,19:21,夜,980,シャンプー,4,3,0,0,0,1,1,0,1,0,0,0,1,0,パーソナルケア,110
R0020,中央区,男性,10代,水,2024/09/04,19:21,夜,980,トイレットペーパー,4,4,0,0,0,1,1,0,1,0,0,0,1,0,掃除・衛生用品,330
R0021,中央区,男性,20代,火,2024/01/24,22:31,夜,470,おにぎり,2,1,0,0,0,1,1,0,1,0,0,0,1,0,主食・基本食品,140
R0021,中央区,男性,20代,火,2024/01/24,22:31,夜,470,トイレットペーパー,2,2,0,0,0,1,1,0,1,0,0,0,1,0,掃除・衛生用品,330
R0022,中央区,女性,40代,土,2024/12/31,07:32,朝,190,ヨーグルト,1,1,1,1,0,0,0,1,0,1,0,1,0,0,健康食品,190
R0023,中央区,男性,10代,木,2024/05/27,22:58,夜,570,サンドイッチ,2,1,0,0,0,1,1,0,1,0,0,0,1,0,インスタント食品,450
R0023,中央区,男性,10代,木,2024/05/27,22:58,夜,570,お茶,2,2,0,0,0,1,1,0,1,0,0,0,1,0,飲み物,120
R0024,中央区,女性,50代,月,2024/05/18,18:39,夜,430,コーヒー,3,1,0,0,0,1,1,0,0,0,1,0,1,0,飲み物,170
R0024,中央区,女性,50代,月,2024/05/18,18:39,夜,430,お茶,3,2,0,0,0,1,1,0,0,0,1,0,1,0,飲み物,120
R0024,中央区,女性,50代,月,2024/05/18,18:39,夜,430,おにぎり,3,3,0,0,0,1,1,0,0,0,1,0,1,0,主食・基本食品,140
R0025,中央区,男性,40代,土,2024/04/06,07:16,朝,710,パン,3,1,0,1,0,0,0,1,0,1,0,0,1,0,主食・基本食品,210
R0025,中央区,男性,40代,土,2024/04/06,07:16,朝,710,牛乳,3,2,0,1,0,0,0,1,0,1,0,0,1,0,主食・基本食品,330
R0025,中央区,男性,40代,土,2024/04/06,07:16,朝,710,コーヒー,3,3,0,1,0,0,0,1,0,1,0,0,1,0,飲み物,170
R0026,中央区,男性,30代,火,2024/02/08,13:25,昼,460,お茶,3,1,0,0,1,0,1,0,0,1,0,0,0,1,飲み物,120
R0026,中央区,男性,30代,火,2024/02/08,13:25,昼,460,ジュース,3,2,0,0,1,0,1,0,0,1,0,0,0,1,飲み物,170
R0026,中央区,男性,30代,火,2024/02/08,13:25,昼,460,コーヒー,3,3,0,0,1,0,1,0,0,1,0,0,0,1,飲み物,170
R0027,中央区,女性,40代,月,2024/12/28,20:37,夜,210,パン,1,1,1,0,0,1,1,0,0,1,0,1,0,0,主食・基本食品,210
R0028,中央区,女性,50代,水,2024/06/20,10:30,朝,680,おにぎり,3,1,0,1,0,0,1,0,0,0,1,0,1,0,主食・基本食品,140
R0028,中央区,女性,50代,水,2024/06/20,10:30,朝,680,パン,3,2,0,1,0,0,1,0,0,0,1,0,1,0,主食・基本食品,210
R0028,中央区,女性,50代,水,2024/06/20,10:30,朝,680,牛乳,3,3,0,1,0,0,1,0,0,0,1,0,1,0,主食・基本食品,330
R0029,中央区,男性,20代,月,2024/07/01,13:01,昼,920,おにぎり,4,1,0,0,1,0,1,0,1,0,0,0,0,1,主食・基本食品,140
R0029,中央区,男性,20代,月,2024/07/01,13:01,昼,920,パン,4,2,0,0,1,0,1,0,1,0,0,0,0,1,主食・基本食品,210
R0029,中央区,男性,20代,月,2024/07/01,13:01,昼,920,卵,4,3,0,0,1,0,1,0,1,0,0,0,0,1,主食・基本食品,240
R0029,中央区,男性,20代,月,2024/07/01,13:01,昼,920,牛乳,4,4,0,0,1,0,1,0,1,0,0,0,0,1,主食・基本食品,330
R0030,中央区,男性,60代以上,金,2024/12/27,18:04,夜,780,パン,3,1,0,0,0,1,1,0,0,0,1,0,0,1,主食・基本食品,210
R0030,中央区,男性,60代以上,金,2024/12/27,18:04,夜,780,卵,3,2,0,0,0,1,1,0,0,0,1,0,0,1,主食・基本食品,240
R0030,中央区,男性,60代以上,金,2024/12/27,18:04,夜,780,牛乳,3,3,0,0,0,1,1,0,0,0,1,0,0,1,主食・基本食品,330
R0031,中央区,男性,40代,木,2024/07/14,09:31,朝,270,フルーツ,1,1,1,1,0,0,1,0,0,1,0,1,0,0,健康食品,270
R0032,中央区,男性,20代,火,2024/03/02,07:40,朝,860,栄養ドリンク,3,1,0,1,0,0,1,0,1,0,0,0,0,1,飲み物,180
R0032,中央区,男性,20代,火,2024/03/02,07:40,朝,860,サラダ,3,2,0,1,0,0,1,0,1,0,0,0,0,1,健康食品,290
R0032,中央区,男性,20代,火,2024/03/02,07:40,朝,860,ティッシュ,3,3,0,1,0,0,1,0,1,0,0,0,0,1,掃除・衛生用品,390
R0033,中央区,男性,50代,火,2024/04/11,07:48,朝,1190,野菜ジュース,5,1,0,1,0,0,1,0,0,0,1,0,1,0,飲み物,180
R0033,中央区,男性,50代,火,2024/04/11,07:48,朝,1190,栄養ドリンク,5,2,0,1,0,0,1,0,0,0,1,0,1,0,飲み物,180
R0033,中央区,男性,50代,火,2024/04/11,07:48,朝,1190,ヨーグルト,5,3,0,1,0,0,1,0,0,0,1,0,1,0,健康食品,190
R0033,中央区,男性,50代,火,2024/04/11,07:48,朝,1190,フルーツ,5,4,0,1,0,0,1,0,0,0,1,0,1,0,健康食品,270
R0033,中央区,男性,50代,火,2024/04/11,07:48,朝,1190,ガム,5,5,0,1,0,0,1,0,0,0,1,0,1,0,お菓子・スナック,370
R0034,中央区,男性,40代,月,2024/12/14,15:59,昼,750,フルーツ,3,1,0,0,1,0,1,0,0,1,0,0,1,0,健康食品,270
R0034,中央区,男性,40代,月,2024/12/14,15:59,昼,750,サラダ,3,2,0,0,1,0,1,0,0,1,0,0,1,0,健康食品,290
R0034,中央区,男性,40代,月,2024/12/14,15:59,昼,750,ヨーグルト,3,3,0,0,1,0,1,0,0,1,0,0,1,0,健康食品,190
R0035,中央区,男性,30代,土,2024/02/26,16:26,昼,510,お茶,2,1,0,0,1,0,0,1,0,1,0,0,1,0,飲み物,120
R0035,中央区,男性,30代,土,2024/02/26,16:26,昼,510,ティッシュ,2,2,0,0,1,0,0,1,0,1,0,0,1,0,掃除・衛生用品,390
R0036,中央区,男性,20代,水,2024/07/30,20:22,夜,1220,卵,5,1,0,0,0,1,1,0,1,0,0,0,1,0,主食・基本食品,240
R0036,中央区,男性,20代,水,2024/07/30,20:22,夜,1220,おにぎり,5,2,0,0,0,1,1,0,1,0,0,0,1,0,主食・基本食品,140
R0036,中央区,男性,20代,水,2024/07/30,20:22,夜,1220,牛乳,5,3,0,0,0,1,1,0,1,0,0,0,1,0,主食・基本食品,330
R0036,中央区,男性,20代,水,2024/07/30,20:22,夜,1220,パン,5,4,0,0,0,1,1,0,1,0,0,0,1,0,主食・基本食品,210
R0036,中央区,男性,20代,水,2024/07/30,20:22,夜,1220,歯ブラシ,5,5,0,0,0,1,1,0,1,0,0,0,1,0,パーソナルケア,300
R0037,中央区,女性,40代,土,2024/03/18,18:15,夜,350,おにぎり,2,1,0,0,0,1,0,1,0,1,0,0,1,0,主食・基本食品,140
R0037,中央区,女性,40代,土,2024/03/18,18:15,夜,350,パン,2,2,0,0,0,1,0,1,0,1,0,0,1,0,主食・基本食品,210
R0038,中央区,女性,50代,月,2024/03/30,16:43,昼,650,栄養ドリンク,3,1,0,0,1,0,1,0,0,0,1,0,1,0,飲み物,180
R0038,中央区,女性,50代,月,2024/03/30,16:43,昼,650,野菜ジュース,3,2,0,0,1,0,1,0,0,0,1,0,1,0,飲み物,180
R0038,中央区,女性,50代,月,2024/03/30,16:43,昼,650,サラダ,3,3,0,0,1,0,1,0,0,0,1,0,1,0,健康食品,290
R0039,中央区,男性,30代,木,2024/08/03,12:37,昼,920,牛乳,4,1,0,0,1,0,1,0,0,1,0,0,0,1,主食・基本食品,330
R0039,中央区,男性,30代,木,2024/08/03,12:37,昼,920,卵,4,2,0,0,1,0,1,0,0,1,0,0,0,1,主食・基本食品,240
R0039,中央区,男性,30代,木,2024/08/03,12:37,昼,920,おにぎり,4,3,0,0,1,0,1,0,0,1,0,0,0,1,主食・基本食品,140
R0039,中央区,男性,30代,木,2024/08/03,12:37,昼,920,パン,4,4,0,0,1,0,1,0,0,1,0,0,0,1,主食・基本食品,210
R0040,中央区,女性,20代,月,2024/01/28,11:38,昼,350,パン,2,1,0,0,1,0,1,0,1,0,0,0,1,0,主食・基本食品,210
R0040,中央区,女性,20代,月,2024/01/28,11:38,昼,350,おにぎり,2,2,0,0,1,0,1,0,1,0,0,0,1,0,主食・基本食品,140
R0041,中央区,男性,50代,金,2024/02/27,08:21,朝,1150,ジュース,5,1,0,1,0,0,1,0,0,0,1,0,0,1,飲み物,170
R0041,中央区,男性,50代,金,2024/02/27,08:21,朝,1150,お茶,5,2,0,1,0,0,1,0,0,0,1,0,0,1,飲み物,120
R0041,中央区,男性,50代,金,2024/02/27,08:21,朝,1150,コーヒー,5,3,0,1,0,0,1,0,0,0,1,0,0,1,飲み物,170
R0041,中央区,男性,50代,金,2024/02/27,08:21,朝,1150,サンドイッチ,5,4,0,1,0,0,1,0,0,0,1,0,0,1,インスタント食品,450
R0041,中央区,男性,50代,金,2024/02/27,08:21,朝,1150,卵,5,5,0,1,0,0,1,0,0,0,1,0,0,1,主食・基本食品,240
R0042,中央区,男性,20代,日,2024/12/04,09:19,朝,680,牛乳,3,1,0,1,0,0,0,1,1,0,0,0,0,1,主食・基本食品,330
R0042,中央区,男性,20代,日,2024/12/04,09:19,朝,680,パン,3,2,0,1,0,0,0,1,1,0,0,0,0,1,主食・基本食品,210
R0042,中央区,男性,20代,日,2024/12/04,09:19,朝,680,おにぎり,3,3,0,1,0,0,0,1,1,0,0,0,0,1,主食・基本食品,140
R0043,中央区,女性,30代,土,2024/12/12,22:03,夜,910,コーヒー,4,1,0,0,0,1,0,1,0,1,0,0,0,1,飲み物,170
R0043,中央区,女性,30代,土,2024/12/12,22:03,夜,910,お茶,4,2,0,0,0,1,0,1,0,1,0,0,0,1,飲み物,120
R0043,中央区,女性,30代,土,2024/12/12,22:03,夜,910,ジュース,4,3,0,0,0,1,0,1,0,1,0,0,0,1,飲み物,170
R0043,中央区,女性,30代,土,2024/12/12,22:03,夜,910,サンドイッチ,4,4,0,0,0,1,0,1,0,1,0,0,0,1,インスタント食品,450
R0044,中央区,女性,40代,木,2024/04/25,17:09,夜,910,サンドイッチ,4,1,0,0,0,1,1,0,0,1,0,0,0,1,インスタント食品,450
R0044,中央区,女性,40代,木,2024/04/25,17:09,夜,910,お茶,4,2,0,0,0,1,1,0,0,1,0,0,0,1,飲み物,120
R0044,中央区,女性,40代,木,2024/04/25,17:09,夜,910,コーヒー,4,3,0,0,0,1,1,0,0,1,0,0,0,1,飲み物,170
R0044,中央区,女性,40代,木,2024/04/25,17:09,夜,910,ジュース,4,4,0,0,0,1,1,0,0,1,0,0,0,1,飲み物,170
R0045,中央区,女性,50代,木,2024/07/15,11:50,昼,680,おにぎり,3,1,0,0,1,0,1,0,0,0,1,0,0,1,主食・基本食品,140
R0045,中央区,女性,50代,木,2024/07/15,11:50,昼,680,牛乳,3,2,0,0,1,0,1,0,0,0,1,0,0,1,主食・基本食品,330
R0045,中央区,女性,50代,木,2024/07/15,11:50,昼,680,チョコレート,3,3,0,0,1,0,1,0,0,0,1,0,0,1,お菓子・スナック,210
R0046,中央区,男性,60代以上,金,2024/05/03,20:45,夜,1340,シャンプー,5,1,0,0,0,1,1,0,0,0,1,0,0,1,パーソナルケア,110
R0046,中央区,男性,60代以上,金,2024/05/03,20:45,夜,1340,ティッシュ,5,2,0,0,0,1,1,0,0,0,1,0,0,1,掃除・衛生用品,390
R0046,中央区,男性,60代以上,金,2024/05/03,20:45,夜,1340,トイレットペーパー,5,3,0,0,0,1,1,0,0,0,1,0,0,1,掃除・衛生用品,330
R0046,中央区,男性,60代以上,金,2024/05/03,20:45,夜,1340,歯ブラシ,5,4,0,0,0,1,1,0,0,0,1,0,0,1,パーソナルケア,300
R0046,中央区,男性,60代以上,金,2024/05/03,20:45,夜,1340,チョコレート,5,5,0,0,0,1,1,0,0,0,1,0,0,1,お菓子・スナック,210
R0047,中央区,女性,10代,木,2024/07/18,09:46,朝,140,おにぎり,1,1,1,1,0,0,1,0,1,0,0,1,0,0,主食・基本食品,140
R0048,中央区,男性,20代,水,2024/06/13,15:56,昼,580,缶コーヒー,3,1,0,0,1,0,1,0,1,0,0,0,0,1,飲み物,100
R0048,中央区,男性,20代,水,2024/06/13,15:56,昼,580,冷凍食品,3,2,0,0,1,0,1,0,1,0,0,0,0,1,インスタント食品,300
R0048,中央区,男性,20代,水,2024/06/13,15:56,昼,580,カップ麺,3,3,0,0,1,0,1,0,1,0,0,0,0,1,インスタント食品,180
R0049,中央区,男性,10代,金,2024/01/01,22:35,夜,150,洗剤,1,1,1,0,0,1,1,0,1,0,0,1,0,0,掃除・衛生用品,150
R0050,中央区,女性,50代,日,2024/03/31,12:45,昼,930,ヨーグルト,4,1,0,0,1,0,0,1,0,0,1,0,0,1,健康食品,190
R0050,中央区,女性,50代,日,2024/03/31,12:45,昼,930,栄養ドリンク,4,2,0,0,1,0,0,1,0,0,1,0,0,1,飲み物,180
R0050,中央区,女性,50代,日,2024/03/31,12:45,昼,930,サラダ,4,3,0,0,1,0,0,1,0,0,1,0,0,1,健康食品,290
R0050,中央区,女性,50代,日,2024/03/31,12:45,昼,930,フルーツ,4,4,0,0,1,0,0,1,0,0,1,0,0,1,健康食品,270
R0051,中央区,男性,30代,土,2024/06/07,18:18,夜,570,お茶,2,1,0,0,0,1,0,1,0,1,0,0,1,0,飲み物,120
R0051,中央区,男性,30代,土,2024/06/07,18:18,夜,570,サンドイッチ,2,2,0,0,0,1,0,1,0,1,0,0,1,0,インスタント食品,450
R0052,中央区,女性,40代,月,2024/08/20,18:33,夜,840,ヨーグルト,4,1,0,0,0,1,1,0,0,1,0,0,0,1,健康食品,190
R0052,中央区,女性,40代,月,2024/08/20,18:33,夜,840,野菜ジュース,4,2,0,0,0,1,1,0,0,1,0,0,0,1,飲み物,180
R0052,中央区,女性,40代,月,2024/08/20,18:33,夜,840,サラダ,4,3,0,0,0,1,1,0,0,1,0,0,0,1,健康食品,290
R0052,中央区,女性,40代,月,2024/08/20,18:33,夜,840,栄養ドリンク,4,4,0,0,0,1,1,0,0,1,0,0,0,1,飲み物,180
R0053,中央区,男性,10代,木,2024/03/09,21:31,夜,600,サラダ,3,1,0,0,0,1,1,0,1,0,0,0,0,1,健康食品,290
R0053,中央区,男性,10代,木,2024/03/09,21:31,夜,600,ヨーグルト,3,2,0,0,0,1,1,0,1,0,0,0,0,1,健康食品,190
R0053,中央区,男性,10代,木,2024/03/09,21:31,夜,600,お茶,3,3,0,0,0,1,1,0,1,0,0,0,0,1,飲み物,120
R0054,中央区,男性,50代,火,2024/12/11,12:57,昼,910,サンドイッチ,4,1,0,0,1,0,1,0,0,0,1,0,0,1,インスタント食品,450
R0054,中央区,男性,50代,火,2024/12/11,12:57,昼,910,お茶,4,2,0,0,1,0,1,0,0,0,1,0,0,1,飲み物,120
R0054,中央区,男性,50代,火,2024/12/11,12:57,昼,910,コーヒー,4,3,0,0,1,0,1,0,0,0,1,0,0,1,飲み物,170
R0054,中央区,男性,50代,火,2024/12/11,12:57,昼,910,ジュース,4,4,0,0,1,0,1,0,0,0,1,0,0,1,飲み物,170
R0055,中央区,女性,40代,水,2024/03/28,18:16,夜,710,おにぎり,3,1,0,0,0,1,1,0,0,1,0,0,0,1,主食・基本食品,140
R0055,中央区,女性,40代,水,2024/03/28,18:16,夜,710,牛乳,3,2,0,0,0,1,1,0,0,1,0,0,0,1,主食・基本食品,330
R0055,中央区,女性,40代,水,2024/03/28,18:16,夜,710,卵,3,3,0,0,0,1,1,0,0,1,0,0,0,1,主食・基本食品,240
R0056,中央区,男性,50代,木,2024/08/11,17:30,夜,120,お茶,1,1,1,0,0,1,1,0,0,0,1,1,0,0,飲み物,120
R0057,中央区,女性,30代,火,2024/09/03,09:22,朝,920,牛乳,4,1,0,1,0,0,1,0,0,1,0,0,1,0,主食・基本食品,330
R0057,中央区,女性,30代,火,2024/09/03,09:22,朝,920,パン,4,2,0,1,0,0,1,0,0,1,0,0,1,0,主食・基本食品,210
R0057,中央区,女性,30代,火,2024/09/03,09:22,朝,920,おにぎり,4,3,0,1,0,0,1,0,0,1,0,0,1,0,主食・基本食品,140
R0057,中央区,女性,30代,火,2024/09/03,09:22,朝,920,卵,4,4,0,1,0,0,1,0,0,1,0,0,1,0,主食・基本食品,240
R0058,中央区,女性,50代,日,2024/12/30,19:26,夜,890,牛乳,4,1,0,0,0,1,0,1,0,0,1,0,0,1,主食・基本食品,330
R0058,中央区,女性,50代,日,2024/12/30,19:26,夜,890,おにぎり,4,2,0,0,0,1,0,1,0,0,1,0,0,1,主食・基本食品,140
R0058,中央区,女性,50代,日,2024/12/30,19:26,夜,890,卵,4,3,0,0,0,1,0,1,0,0,1,0,0,1,主食・基本食品,240
R0058,中央区,女性,50代,日,2024/12/30,19:26,夜,890,野菜ジュース,4,4,0,0,0,1,0,1,0,0,1,0,0,1,飲み物,180
R0059,中央区,女性,30代,木,2024/09/07,20:53,夜,920,フルーツ,5,1,0,0,0,1,1,0,0,1,0,0,0,1,健康食品,270
R0059,中央区,女性,30代,木,2024/09/07,20:53,夜,920,野菜ジュース,5,2,0,0,0,1,1,0,0,1,0,0,0,1,飲み物,180
R0059,中央区,女性,30代,木,2024/09/07,20:53,夜,920,栄養ドリンク,5,3,0,0,0,1,1,0,0,1,0,0,0,1,飲み物,180
R0059,中央区,女性,30代,木,2024/09/07,20:53,夜,920,ヨーグルト,5,4,0,0,0,1,1,0,0,1,0,0,0,1,健康食品,190
R0059,中央区,女性,30代,木,2024/09/07,20:53,夜,920,缶コーヒー,5,5,0,0,0,1,1,0,0,1,0,0,0,1,飲み物,100
R0060,中央区,男性,30代,日,2024/08/16,15:44,昼,740,フルーツ,3,1,0,0,1,0,0,1,0,1,0,0,1,0,健康食品,270
R0060,中央区,男性,30代,日,2024/08/16,15:44,昼,740,野菜ジュース,3,2,0,0,1,0,0,1,0,1,0,0,1,0,飲み物,180
R0060,中央区,男性,30代,日,2024/08/16,15:44,昼,740,サラダ,3,3,0,0,1,0,0,1,0,1,0,0,1,0,健康食品,290
R0061,中央区,女性,10代,月,2024/12/29,18:36,夜,640,野菜ジュース,3,1,0,0,0,1,1,0,1,0,0,0,1,0,飲み物,180
R0061,中央区,女性,10代,月,2024/12/29,18:36,夜,640,ヨーグルト,3,2,0,0,0,1,1,0,1,0,0,0,1,0,健康食品,190
R0061,中央区,女性,10代,月,2024/12/29,18:36,夜,640,フルーツ,3,3,0,0,0,1,1,0,1,0,0,0,1,0,健康食品,270
R0062,中央区,男性,30代,日,2024/07/01,08:50,朝,470,おにぎり,2,1,0,1,0,0,0,1,0,1,0,0,1,0,主食・基本食品,140
R0062,中央区,男性,30代,日,2024/07/01,08:50,朝,470,牛乳,2,2,0,1,0,0,0,1,0,1,0,0,1,0,主食・基本食品,330
